date,deaths
01-11-15,5656
01-12-15,6194
01-01-16,5463
01-02-16,5611
01-03-16,5956
01-04-16,5862
01-05-16,6379
01-06-16,6004
01-07-16,6218
01-08-16,6476
01-09-16,6002
01-10-16,6191
01-11-16,5933
01-12-16,6726
01-01-17,6323
01-02-17,5846
01-03-17,6518
01-04-17,6554
01-05-17,7191
01-06-17,6723
01-07-17,6503
01-08-17,6748
01-09-17,6705
01-10-17,6972
01-11-17,6889
01-12-17,7428
01-01-18,6515
01-02-18,6291
01-03-18,6872
01-04-18,7202
01-05-18,7350
01-06-18,7079
01-07-18,7193
01-08-18,7031
01-09-18,6651
01-10-18,7316
01-11-18,6974
01-12-18,7275
01-01-19,6738
01-02-19,6570
01-03-19,6912
01-04-19,7269
01-05-19,7382
01-06-19,6942
01-07-19,7109
01-08-19,6910
01-09-19,6754
01-10-19,7015
01-11-19,6840
01-12-19,7441
